name,lat,lon,odo1,odo2,odo3,hgt,odo
10370,24.03085054,72.3876112,30038,48324,48356,87,48356
10380,24.0309569,72.38763259,30061,48371,48403,87,48403
10390,24.03105849,72.38765343,30085,48417,48448,87,48448
10400,24.03116436,72.38767438,30112,48464,48495,87,48495
10410,24.03127035,72.38769531,30139,48511,48543,87,48543
10420,24.03137985,72.38771698,30173,48560,48591,87,48591
10430,24.03148999,72.38773882,30209,48609,48640,87,48640
10440,24.03159504,72.38776005,30251,48656,48687,87,48687
10450,24.03170102,72.38778106,30296,48703,48734,87,48734
10460,24.0318106,72.38780281,30341,48752,48783,87,48783
10470,24.03190893,72.38782237,30384,48796,48826,87,48826
10480,24.03201486,72.38784326,30430,48843,48873,87,48873
10490,24.03212082,72.3878646,30476,48891,48920,87,48920
10500,24.0322299,72.38788629,30525,48939,48969,87,48969
10510,24.03233916,72.38790819,30562,48988,49017,87,49017
10520,24.0324332,72.38792704,30600,49030,49059,87,49059
10530,24.03253943,72.38794816,30645,49077,49106,87,49106
10540,24.03264622,72.38796899,30690,49125,49153,87,49153
10550,24.03275215,72.3879896,30728,49172,49200,87,49200
10560,24.0328583,72.38801041,30775,49219,49247,87,49247
10570,24.03296437,72.38803146,30812,49266,49294,87,49294
10580,24.03307057,72.38805303,30854,49313,49341,87,49341
10590,24.03317654,72.38807465,30896,49361,49388,87,49388
10600,24.03327965,72.38809494,30941,49407,49434,87,49434
10610,24.03338572,72.38811635,30987,49454,49481,87,49481
10620,24.03348744,72.388137,31029,49499,49527,87,49527
10630,24.03358503,72.38815701,31069,49543,49570,87,49570
10640,24.03369078,72.38817887,31109,49590,49617,87,49617
10650,24.03379629,72.38820075,31148,49637,49665,87,49665
10660,24.03390217,72.38822231,31195,49684,49712,87,49712
10670,24.03400839,72.38824394,31242,49731,49760,87,49760
10680,24.03411829,72.38826607,31291,49780,49808,87,49808
10690,24.03422426,72.38828774,31338,49827,49856,87,49856
10700,24.03433057,72.38830918,31386,49875,49903,87,49903
10710,24.03443658,72.38833041,31433,49922,49951,87,49951
10720,24.03453826,72.38835066,31477,49967,49996,87,49996
10730,24.03464002,72.38837124,31516,50012,50042,87,50042
10740,24.0347459,72.38839257,31557,50059,50089,87,50089
10750,24.03485221,72.3884142,31594,50107,50137,87,50137
10760,24.03495834,72.38843558,31638,50154,50184,87,50184
10770,24.03506039,72.38845624,31678,50199,50230,87,50230
10780,24.03516647,72.38847812,31717,50246,50277,87,50277
10790,24.03527264,72.3885001,31765,50293,50324,87,50324
10800,24.0353786,72.38852204,31809,50342,50373,87,50373
10810,24.03548915,72.38854491,31853,50390,50421,87,50421
10820,24.03559476,72.38856676,31900,50437,50468,87,50468
10830,24.03570625,72.3885896,31944,50487,50518,87,50518
10840,24.03580752,72.38861002,31987,50532,50563,87,50563
10850,24.03591318,72.38863126,32029,50579,50610,87,50610
10860,24.03601438,72.38865174,32071,50624,50655,87,50655
10870,24.03611183,72.38867157,32108,50667,50699,87,50699
10880,24.03621784,72.38869287,32149,50714,50746,87,50746
10890,24.03632408,72.38871438,32187,50762,50793,87,50793
10900,24.03643022,72.38873593,32230,50809,50840,87,50840
10910,24.03653686,72.38875779,32273,50856,50888,87,50888
10920,24.03663879,72.38877859,32314,50901,50933,87,50933
10930,24.03674454,72.38880008,32350,50948,50980,87,50980
10940,24.03685074,72.3888215,32391,50996,51027,87,51027
10950,24.03695599,72.38884273,32430,51042,51074,87,51074
10960,24.03706169,72.38886442,32459,51089,51121,87,51121
10970,24.03716658,72.38888563,32485,51136,51168,87,51168
10980,24.0372724,72.38890734,32512,51183,51215,87,51215
10990,24.03737848,72.38892944,32536,51231,51262,87,51262
11000,24.03748495,72.38895179,32560,51278,51310,87,51310
11010,24.03759015,72.38897379,32584,51325,51357,87,51357
11020,24.03769156,72.3889948,32606,51371,51402,87,51402
11030,24.03780175,72.38901723,32631,51420,51451,87,51451
11040,24.03790304,72.38903776,32653,51465,51496,87,51496
11050,24.03801207,72.38905988,32679,51513,51545,87,51545
11060,24.03811749,72.38908114,32702,51561,51592,87,51592
11070,24.03822716,72.38910331,32727,51610,51641,87,51641
11080,24.03833271,72.38912496,32750,51657,51688,87,51688
11090,24.038443,72.38914754,32772,51706,51737,87,51737
11100,24.03855343,72.38917009,32797,51755,51786,87,51786
11110,24.03866392,72.38919257,32818,51804,51835,87,51835
11120,24.03877047,72.38921421,32841,51852,51882,87,51882
11130,24.03888013,72.38923653,32865,51901,51931,87,51931
11140,24.03898558,72.3892577,32889,51948,51978,87,51978
11150,24.03909132,72.38927886,32913,51995,52025,87,52025
11160,24.03919688,72.38929998,32937,52042,52072,87,52072
11170,24.03930194,72.38932097,32960,52089,52118,87,52118
11180,24.03940324,72.3893414,32983,52135,52163,87,52163
11190,24.03950872,72.38936314,33006,52182,52210,87,52210
11200,24.03960833,72.38938365,33030,52226,52254,87,52254
11210,24.03971827,72.38940623,33055,52275,52303,87,52303
11220,24.03982642,72.38942816,33079,52324,52351,87,52351
11230,24.03993191,72.38944943,33104,52371,52398,87,52398
11240,24.0400335,72.3894697,33127,52416,52443,87,52443
11250,24.04014329,72.38949155,33151,52465,52492,87,52492
11260,24.04024847,72.38951245,33175,52512,52539,87,52539
11270,24.04035461,72.38953392,33201,52560,52587,87,52587
